id;abbreviation;ekatte_num;name
357;DOB12-24;56509;Писарово
358;DOB12-26;58181;Преселенци
359;DOB12-27;58414;Присад
360;DOB12-28;58832;Пчеларово
361;DOB12-29;61159;Равнец
362;DOB12-30;62829;Рогозина
363;DOB12-32;63094;Росица
364;DOB12-35;67773;Снягово
365;DOB12-36;68196;Спасово
366;DOB12-40;81219;Чернооково
374;DOB15-09;10307;Ведрина
375;DOB15-10;11421;Владимирово
376;DOB15-11;11781;Воднянци
377;DOB15-17;21083;Победа
378;DOB15-19;21957;Долина
379;DOB15-20;22988;Дончево
380;DOB15-21;23128;Драганово
381;DOB15-23;27468;Енево
382;DOB15-24;29489;Житница
383;DOB15-26;35674;Камен
384;DOB15-27;36419;Карапелит
385;DOB15-28;37808;Козлодуйци
386;DOB15-29;39061;Котленци
387;DOB15-31;43431;Лясково
388;DOB15-32;43997;Ловчанци
389;DOB15-33;44272;Ломница
390;DOB15-36;47901;Методиево
391;DOB15-38;53210;Овчарово
392;DOB15-39;53432;Одринци
393;DOB15-40;53450;Одърци
394;DOB15-41;53597;Опанец
395;DOB15-43;55511;Паскалево
396;DOB15-44;56695;Плачидол
397;DOB15-45;57087;Подслон
398;DOB15-46;57279;Полковник Свещарово
399;DOB15-49;58880;Пчелино
400;DOB15-51;59402;Полковник Минково
401;DOB15-52;63063;Росеново
402;DOB15-53;65824;Свобода
403;DOB15-54;66946;Славеево
404;DOB15-55;67622;Смолница
405;DOB15-57;69198;Стефан Караджа
406;DOB15-58;69242;Стефаново
407;DOB15-59;69300;Стожер
408;DOB15-60;70812;Сливенци
409;DOB15-61;73818;Тянево
410;DOB15-62;76064;Фелдфебел Денково
411;DOB15-63;77284;Хитово
412;DOB15-64;78152;Царевец
413;DOB15-65;80769;Черна
416;DOB17-05;11003;Видно
417;DOB17-06;12173;Вранино
418;DOB17-12;62092;Раковски
419;DOB17-13;65543;Свети Никола
420;DOB17-14;66113;Селце
421;DOB17-15;66281;Септемврийци
422;DOB17-16;72693;Топола
425;DOB20-04;14043;Габер
426;DOB20-05;21470;Добрин
427;DOB20-06;27656;Ефрейтор Бакалово
428;DOB20-07;30185;Загорци
429;DOB20-08;36138;Капитан Димитрово
430;DOB20-09;38618;Коритен
431;DOB20-10;44104;Лозенец
432;DOB20-11;57234;Полковник Дяково
433;DOB20-13;65906;Северняк
434;DOB20-14;65913;Северци
435;DOB20-15;72196;Телериг
441;DOB27-07;14982;Главанци
